日期,m值,沪深300收盘指数
2007-01-05,0.7327,2072.8800
2007-01-08,0.7432,2131.5600
2007-01-09,0.7524,2200.0900
2007-01-10,0.6659,2255.9700
2007-01-11,0.5741,2231.6300
2007-01-12,0.3910,2173.7500
2007-01-15,0.6123,2287.3400
2007-01-16,0.8176,2353.8700
2007-01-17,0.5625,2308.9300
2007-01-18,0.5290,2317.0900
2007-01-19,0.6295,2396.0900
2007-01-22,0.6252,2491.3100
2007-01-23,0.5643,2508.1300
2007-01-24,0.5252,2536.4300
2007-01-25,0.1426,2452.8300
2007-01-26,0.2680,2512.9200
2007-01-29,0.4832,2576.9200
2007-01-30,0.0972,2551.8800
2007-01-31,-0.6203,2385.3300
2007-02-01,-0.6613,2395.1700
2007-02-02,-0.3423,2298.0000
2007-02-05,-0.0695,2271.8000
2007-02-06,-0.0604,2316.0400
2007-02-07,0.1627,2369.7900
2007-02-08,0.4531,2410.6000
2007-02-09,0.4871,2397.2500
2007-02-12,0.6552,2485.3900
2007-02-13,0.7972,2522.6300
2007-02-14,0.7809,2588.3500
2007-02-15,0.5442,2668.6300
2007-02-16,0.4030,2676.7400
2007-02-26,0.3889,2707.6800
2007-02-27,-0.0103,2457.4900
2007-02-28,0.1428,2544.5700
2007-03-01,-0.0667,2473.5400
2007-03-02,0.1141,2508.7300
2007-03-05,0.0287,2475.6100
2007-03-06,0.3360,2520.2900
2007-03-07,0.7388,2589.4400
2007-03-08,0.8842,2627.6300
2007-03-09,0.5879,2611.3900
2007-03-12,0.5608,2616.1700
2007-03-13,0.6019,2640.1700
2007-03-14,0.2796,2597.3600
2007-03-15,0.4381,2645.5500
2007-03-16,0.4656,2604.2300
2007-03-19,0.6013,2659.4100
2007-03-20,0.6624,2672.7700
2007-03-21,0.7611,2702.6000
2007-03-22,0.9125,2711.3200
2007-03-23,0.8533,2716.2700
2007-03-26,0.9356,2764.0300
2007-03-27,0.8179,2784.0200
2007-03-28,0.7779,2797.6500
2007-03-29,0.6954,2783.3000
2007-03-30,0.4546,2781.7800
2007-04-02,0.7406,2850.1100
2007-04-03,0.9628,2888.1100
2007-04-04,0.9492,2911.8200
2007-04-05,0.9481,2945.0400
2007-04-06,0.8856,2972.0100
2007-04-09,0.9567,3038.1700
2007-04-10,0.9433,3081.5700
2007-04-11,0.9367,3121.3200
2007-04-12,0.8234,3176.4400
2007-04-13,0.7971,3169.2300
2007-04-16,0.7443,3256.0000
2007-04-17,0.6836,3283.6000
2007-04-18,0.6403,3304.5000
2007-04-19,0.3315,3150.3000
2007-04-20,0.6646,3289.2800
2007-04-23,0.8421,3431.3200
2007-04-24,0.8727,3445.2000
2007-04-25,0.8751,3448.2800
2007-04-26,0.8121,3493.5800
2007-04-27,0.7888,3470.5200
2007-04-30,0.8877,3558.7100
2007-05-08,0.8435,3686.0300
2007-05-09,0.7575,3701.2800
2007-05-10,0.7542,3724.5100
2007-05-11,0.4504,3702.6100
2007-05-14,0.5580,3734.4200
2007-05-15,0.2053,3604.6400
2007-05-16,0.5003,3700.2900
2007-05-17,0.7603,3778.6000
2007-05-18,0.6398,3776.6300
2007-05-21,0.8166,3831.4400
2007-05-22,0.9522,3870.4900
2007-05-23,0.8976,3938.9500
2007-05-24,0.8089,3919.7500
2007-05-25,0.7006,3985.2500
2007-05-28,0.6597,4072.5800
2007-05-29,0.5713,4168.2900
2007-05-30,-0.3006,3886.4600
2007-05-31,-0.5413,3927.9500
2007-06-01,-0.5936,3803.9500
2007-06-04,-0.4791,3511.4300
2007-06-05,-0.1348,3634.6300
2007-06-06,0.0041,3677.5800
2007-06-07,0.2127,3802.3000
2007-06-08,0.5262,3837.8700
2007-06-11,0.7401,3931.8600
2007-06-12,0.9182,4036.1100
2007-06-13,0.9224,4118.2700
2007-06-14,0.6791,4075.8200
2007-06-15,0.8318,4099.3800
2007-06-18,0.5454,4227.5700
2007-06-19,0.3902,4253.0000
2007-06-20,0.1339,4157.6000
2007-06-21,0.0754,4197.2800
2007-06-22,-0.2077,4051.4300
2007-06-25,-0.7172,3877.5900
2007-06-26,-0.6741,3928.2100
2007-06-27,-0.2715,4040.4800
2007-06-28,-0.7131,3858.5200
2007-06-29,-0.7178,3764.0800
2007-07-02,-0.6939,3757.6600
2007-07-03,-0.5840,3832.2300
2007-07-04,-0.6123,3743.5800
2007-07-05,-0.4089,3537.4400
2007-07-06,0.0172,3710.2800
2007-07-09,0.3391,3821.3000
2007-07-10,0.3528,3775.6200
2007-07-11,0.3330,3789.8700
2007-07-12,0.0208,3816.9200
2007-07-13,0.0707,3820.1200
2007-07-16,-0.2181,3697.9700
2007-07-17,0.0881,3789.6500
2007-07-18,0.2785,3807.5700
2007-07-19,0.4390,3807.0000
2007-07-20,0.8784,3971.8800
2007-07-23,0.9777,4156.7200
2007-07-24,0.9085,4161.3500
2007-07-25,0.7849,4255.4600
2007-07-26,0.8324,4303.1900
2007-07-27,0.7745,4307.1400
2007-07-30,0.9042,4410.3000
2007-07-31,0.7672,4460.5600
2007-08-01,0.4711,4290.4800
2007-08-02,0.6367,4436.1900
2007-08-03,0.7998,4598.3800
2007-08-06,0.8298,4703.9800
2007-08-07,0.7627,4724.5500
2007-08-08,0.6716,4668.0900
2007-08-09,0.7645,4777.2900
2007-08-10,0.5389,4726.6800
2007-08-13,0.5167,4721.1900
2007-08-14,0.4778,4795.5700
2007-08-15,0.4454,4798.7500
2007-08-16,0.2785,4721.9400
2007-08-17,0.1111,4626.5800
2007-08-20,0.7922,4885.4300
2007-08-21,0.9337,4972.7100
2007-08-22,0.8406,5051.6900
2007-08-23,0.8053,5135.9300
2007-08-24,0.7873,5217.5800
2007-08-27,0.5699,5243.1500
2007-08-28,0.4957,5251.7700
2007-08-29,0.3267,5171.8200
2007-08-30,0.3705,5241.2300
2007-08-31,0.4013,5296.8100
2007-09-03,0.5546,5419.1700
2007-09-04,0.3426,5360.3300
2007-09-05,0.0875,5363.2500
2007-09-06,0.1235,5412.0400
2007-09-07,-0.3491,5294.7900
2007-09-10,-0.2135,5377.2200
2007-09-11,-0.3835,5124.0900
2007-09-12,-0.3290,5202.8600
2007-09-13,0.1409,5349.9700
2007-09-14,0.4267,5397.2800
2007-09-17,0.6652,5498.9100
2007-09-18,0.3661,5476.8400
2007-09-19,0.2198,5419.2700
2007-09-20,0.1322,5494.9200
2007-09-21,-0.1384,5468.1000
2007-09-24,-0.0846,5513.9000
2007-09-25,-0.1071,5454.6200
2007-09-26,-0.3002,5361.0200
2007-09-27,0.0892,5427.6600
2007-09-28,0.5229,5580.8100
2007-10-08,0.9720,5653.1400
2007-10-09,0.7106,5675.9300
2007-10-10,0.7690,5685.7600
2007-10-11,0.7374,5760.0800
2007-10-12,0.7698,5737.2200
2007-10-15,0.7314,5821.4500
2007-10-16,0.6539,5877.2000
2007-10-17,0.1578,5824.1200
2007-10-18,-0.5851,5615.7500
2007-10-19,-0.6749,5614.0600
2007-10-22,-0.7461,5472.6800
2007-10-23,-0.6491,5540.0900
2007-10-24,-0.6003,5588.0100
2007-10-25,-0.5400,5333.7900
2007-10-26,-0.3492,5394.8100
2007-10-29,0.0746,5508.3600
2007-10-30,0.1854,5596.0700
2007-10-31,0.2998,5688.5400
2007-11-01,0.0943,5605.2300
2007-11-02,-0.5679,5472.9300
2007-11-05,-0.7454,5360.3100
2007-11-06,-0.7688,5317.5500
2007-11-07,-0.4683,5350.6300
2007-11-08,-0.6943,5093.6700
2007-11-09,-0.5909,5040.5200
2007-11-12,-0.5263,4978.2500
2007-11-13,-0.3299,4939.2400
2007-11-14,0.0728,5145.8900
2007-11-15,0.0050,5081.1100
2007-11-16,-0.2030,5007.6600
2007-11-19,-0.2698,4994.4200
2007-11-20,-0.1768,5069.3800
2007-11-21,-0.3928,4997.6200
2007-11-22,-0.6359,4772.6200
2007-11-23,-0.3587,4856.1600
2007-11-26,-0.3614,4800.0800
2007-11-27,-0.2291,4711.1500
2007-11-28,0.0513,4648.7500
2007-11-29,0.2825,4842.0700
2007-11-30,0.2055,4737.4100
2007-12-03,0.2100,4772.6700
2007-12-04,0.2729,4829.2100
2007-12-05,0.6904,4965.9500
2007-12-06,0.6302,4971.0600
2007-12-07,0.6130,5041.3500
2007-12-10,0.7146,5133.5600
2007-12-11,0.4446,5140.0000
2007-12-12,0.1197,5077.3900
2007-12-13,-0.5334,4884.3000
2007-12-14,-0.1969,4977.6500
2007-12-17,-0.4371,4857.2900
2007-12-18,-0.2741,4829.9100
2007-12-19,0.0113,4946.2900
2007-12-20,0.3547,5037.1900
2007-12-21,0.7821,5101.8500
2007-12-24,0.9354,5207.1300
2007-12-25,0.6896,5216.8100
2007-12-26,0.7787,5265.0300
2007-12-27,0.9044,5367.5300
2007-12-28,0.7039,5338.2700
2008-01-02,0.7381,5385.1000
2008-01-03,0.8770,5422.0300
2008-01-04,0.8937,5483.6500
2008-01-07,0.8987,5556.5900
2008-01-08,0.8586,5528.0500
2008-01-09,0.8039,5613.7600
2008-01-10,0.8746,5672.1500
2008-01-11,0.6585,5699.1500
2008-01-14,0.3667,5731.7600
2008-01-15,-0.0690,5696.4500
2008-01-16,-0.5058,5505.7200
2008-01-17,-0.7744,5365.6200
2008-01-18,-0.7815,5414.4700
2008-01-21,-0.6422,5145.7300
2008-01-22,-0.8063,4753.8700
2008-01-23,-0.6210,4975.1100
2008-01-24,-0.6055,5027.2100
2008-01-25,-0.5035,5077.4300
2008-01-28,-0.7334,4731.8800
2008-01-29,-0.6953,4762.0800
2008-01-30,-0.4427,4710.6500
2008-01-31,-0.2776,4620.4000
2008-02-01,-0.1410,4571.9400
2008-02-04,0.2494,4950.1200
2008-02-05,0.1437,4921.8300
2008-02-13,-0.1628,4816.0800
2008-02-14,0.1159,4880.2500
2008-02-15,0.1449,4813.3100
2008-02-18,0.2567,4910.9900
2008-02-19,0.4700,5020.7500
2008-02-20,0.1445,4908.7200
2008-02-21,-0.1043,4876.0300
2008-02-22,-0.4779,4702.2400
2008-02-25,-0.7652,4519.7800
2008-02-26,-0.4795,4515.5300
2008-02-27,0.0231,4639.7700
2008-02-28,0.0719,4622.0600
2008-02-29,0.1485,4674.5500
2008-03-03,0.4053,4790.7400
2008-03-04,-0.2380,4671.1500
2008-03-05,-0.4629,4628.7200
2008-03-06,-0.3228,4685.0300
2008-03-07,-0.6063,4621.6900
2008-03-10,-0.8224,4431.5900
2008-03-11,-0.6326,4441.1800
2008-03-12,-0.8825,4309.6500
2008-03-13,-0.9292,4198.9600
2008-03-14,-0.8093,4157.8700
2008-03-17,-0.6384,3965.2800
2008-03-18,-0.4114,3763.9500
2008-03-19,-0.3574,3888.8600
2008-03-20,-0.3113,4001.8300
2008-03-21,-0.3270,4037.8300
2008-03-24,-0.5778,3857.0900
2008-03-25,-0.5564,3905.7700
2008-03-26,-0.6284,3914.3700
2008-03-27,-0.5376,3748.9200
2008-03-28,-0.3604,3918.1600
2008-03-31,-0.6715,3790.5300
2008-04-01,-0.4951,3582.8500
2008-04-02,-0.1015,3547.9800
2008-04-03,-0.0491,3650.7000
2008-04-07,0.1578,3845.8200
2008-04-08,0.4393,3891.0600
2008-04-09,-0.1577,3688.1200
2008-04-10,-0.3464,3754.7200
2008-04-11,-0.3486,3783.7300
2008-04-14,-0.7571,3536.3300
2008-04-15,-0.6547,3583.3000
2008-04-16,-0.7977,3494.0200
2008-04-17,-0.7294,3386.6300
2008-04-18,-0.5603,3272.5000
2008-04-21,-0.2964,3267.5500
2008-04-22,-0.1070,3296.2800
2008-04-23,0.1919,3453.7300
2008-04-24,0.6421,3774.5000
2008-04-25,0.5118,3803.0700
2008-04-28,0.4830,3729.1500
2008-04-29,0.3804,3776.9400
2008-04-30,0.3500,3959.1200
2008-05-05,0.1690,4055.7800
2008-05-06,-0.0802,4010.8900
2008-05-07,-0.0561,3821.3200
2008-05-08,-0.2566,3925.0400
2008-05-09,0.0197,3878.9200
2008-05-12,0.1953,3904.9200
2008-05-13,0.0677,3851.6900
2008-05-14,0.1418,3975.7800
2008-05-15,0.1233,3948.0900
2008-05-16,-0.1173,3936.1200
2008-05-19,-0.2495,3914.0700
2008-05-20,-0.7455,3710.8200
2008-05-21,-0.7374,3783.0500
2008-05-22,-0.6902,3711.4400
2008-05-23,-0.6088,3675.1500
2008-05-26,-0.5738,3559.2200
2008-05-27,-0.3996,3576.2000
2008-05-28,-0.0045,3676.2300
2008-05-29,-0.2197,3580.8700
2008-05-30,-0.1571,3611.3300
2008-06-02,-0.2025,3625.8300
2008-06-03,-0.5481,3614.1100
2008-06-04,-0.6645,3546.9200
2008-06-05,-0.7998,3512.1400
2008-06-06,-0.7825,3489.5000
2008-06-10,-0.8820,3206.5600
2008-06-11,-0.8817,3140.3000
2008-06-12,-0.8074,3084.6300
2008-06-13,-0.7293,2979.1200
2008-06-16,-0.6187,2952.2400
2008-06-17,-0.3774,2842.6800
2008-06-18,-0.2523,2991.2700
2008-06-19,-0.3715,2773.0800
2008-06-20,-0.1511,2849.6700
2008-06-23,-0.0450,2789.9400
2008-06-24,-0.0824,2851.9200
2008-06-25,0.1965,2969.5400
2008-06-26,0.1818,2980.9100
2008-06-27,-0.2104,2816.0200
2008-06-30,-0.3923,2791.8200
2008-07-01,-0.2249,2698.3500
2008-07-02,-0.1896,2699.6000
2008-07-03,0.0618,2760.6100
2008-07-04,-0.0677,2741.8500
2008-07-07,0.7740,2882.7600
2008-07-08,0.8390,2901.8400
2008-07-09,0.5518,3015.1300
2008-07-10,0.3983,2973.7300
2008-07-11,-0.0122,2953.5000
2008-07-14,-0.2144,2975.8700
2008-07-15,-0.5248,2852.9800
2008-07-16,-0.4292,2745.6000
2008-07-17,-0.3137,2718.0700
2008-07-18,0.0256,2815.4600
2008-07-21,0.4812,2911.0500
2008-07-22,0.5486,2904.7400
2008-07-23,0.4428,2883.3200
2008-07-24,0.5459,2977.3600
2008-07-25,0.1021,2939.2000
2008-07-28,-0.0699,2960.8500
2008-07-29,-0.3404,2905.6300
2008-07-30,-0.8119,2884.3800
2008-07-31,-0.8760,2805.2100
2008-08-01,-0.7088,2840.7900
2008-08-04,-0.7232,2773.1500
2008-08-05,-0.7484,2703.0800
2008-08-06,-0.7307,2721.6900
2008-08-07,-0.7813,2720.4400
2008-08-08,-0.9631,2591.4600
2008-08-11,-0.9100,2456.8100
2008-08-12,-0.6189,2444.1600
2008-08-13,-0.5947,2444.6700
2008-08-14,-0.4016,2443.5100
2008-08-15,-0.1695,2447.6100
2008-08-18,-0.2010,2313.4000
2008-08-19,-0.0634,2348.4700
2008-08-20,0.2790,2532.9400
2008-08-21,-0.0712,2443.9800
2008-08-22,-0.3232,2404.9300
2008-08-25,-0.5008,2400.5500
2008-08-26,-0.6038,2331.5300
2008-08-27,-0.5164,2325.2900
2008-08-28,-0.5258,2335.8600
2008-08-29,-0.1706,2391.6400
2008-09-01,-0.5525,2309.1700
2008-09-02,-0.7248,2285.4100
2008-09-03,-0.7867,2245.9600
2008-09-04,-0.6706,2251.1500
2008-09-05,-0.8811,2183.4300
2008-09-08,-0.8850,2126.5200
2008-09-09,-0.6892,2139.1500
2008-09-10,-0.6010,2143.1800
2008-09-11,-0.6844,2072.1300
2008-09-12,-0.6370,2077.8500
2008-09-16,-0.4352,2000.6500
2008-09-17,-0.5024,1929.1400
2008-09-18,-0.0389,1895.9900
2008-09-19,0.3246,2073.1100
2008-09-22,0.8961,2207.6100
2008-09-23,0.6046,2123.4800
2008-09-24,0.5032,2138.8500
2008-09-25,0.4949,2223.5300
2008-09-26,0.2019,2243.6600
2008-10-06,-0.1521,2128.7000
2008-10-07,-0.5152,2102.4500
2008-10-08,-0.6370,2022.8800
2008-10-09,-0.6852,1995.3000
2008-10-10,-0.7747,1906.9600
2008-10-13,-0.5985,1985.4900
2008-10-14,-0.5715,1934.6200
2008-10-15,-0.5999,1914.3600
2008-10-16,-0.4482,1820.9000
2008-10-17,-0.4305,1833.2600
2008-10-20,-0.3214,1896.7300
2008-10-21,-0.5216,1881.4100
2008-10-22,-0.4998,1833.3200
2008-10-23,-0.5895,1834.7800
2008-10-24,-0.6055,1781.6000
2008-10-27,-0.3764,1654.6700
2008-10-28,-0.3999,1705.8200
2008-10-29,-0.4245,1658.2200
2008-10-30,-0.3459,1697.6600
2008-10-31,-0.2492,1663.6600
2008-11-03,-0.1969,1653.5400
2008-11-04,0.0107,1627.7600
2008-11-05,0.2064,1691.4200
2008-11-06,0.0839,1649.7800
2008-11-07,0.2048,1677.8300
2008-11-10,0.9004,1801.6700
2008-11-11,0.9172,1781.3600
2008-11-12,0.5152,1801.8200
2008-11-13,0.4909,1874.0800
2008-11-14,0.4867,1943.6500
2008-11-17,0.4708,1987.2200
2008-11-18,0.1130,1839.8200
2008-11-19,0.0362,1953.1600
2008-11-20,-0.0022,1932.4300
2008-11-21,-0.2623,1920.7300
2008-11-24,-0.2080,1837.6400
2008-11-25,-0.3504,1834.2900
2008-11-26,-0.1599,1843.4900
2008-11-27,0.1388,1870.4700
2008-11-28,-0.1353,1829.9200
2008-12-01,0.0768,1864.2000
2008-12-02,0.1497,1868.6300
2008-12-03,0.5953,1952.6700
2008-12-04,0.8005,1982.9300
2008-12-05,0.7110,2013.1800
2008-12-08,0.5480,2095.0400
2008-12-09,0.1629,2040.8500
2008-12-10,0.0881,2096.3900
2008-12-11,-0.2668,2046.3400
2008-12-12,-0.3168,1960.3800
2008-12-15,-0.0953,1975.0300
2008-12-16,-0.0102,1994.4500
2008-12-17,0.0683,2001.4200
2008-12-18,0.2617,2045.1000
2008-12-19,0.3740,2052.1100
2008-12-22,-0.0228,2017.5500
2008-12-23,-0.5900,1918.9500
2008-12-24,-0.7028,1887.0700
2008-12-25,-0.7049,1870.7700
2008-12-26,-0.6221,1862.1000
2008-12-29,-0.5043,1854.7600
2008-12-30,-0.4905,1833.4400
2008-12-31,-0.2990,1817.7200
2009-01-05,0.1540,1882.9600
2009-01-06,0.3389,1942.8000
2009-01-07,0.3532,1931.1800
2009-01-08,-0.1645,1887.9900
2009-01-09,0.1326,1918.3600
2009-01-12,0.1333,1920.6900
2009-01-13,-0.0849,1876.1900
2009-01-14,0.7756,1955.2400
2009-01-15,0.7758,1954.8700
2009-01-16,0.6685,1990.2100
2009-01-19,0.8823,2012.4600
2009-01-20,0.7883,2025.1900
2009-01-21,0.7244,2021.7100
2009-01-22,0.8488,2044.5500
2009-01-23,0.5869,2032.6800
2009-02-02,0.7324,2057.0600
2009-02-03,0.8798,2108.9100
2009-02-04,0.9716,2166.4100
2009-02-05,0.8860,2150.9700
2009-02-06,0.9659,2237.2800
2009-02-09,0.9214,2296.6700
2009-02-10,0.8213,2326.7500
2009-02-11,0.7713,2331.1400
2009-02-12,0.6167,2318.3400
2009-02-13,0.6413,2399.0600
2009-02-16,0.5077,2462.2500
2009-02-17,0.1850,2385.2900
2009-02-18,-0.2526,2275.8400
2009-02-19,-0.2471,2298.4100
2009-02-20,-0.1766,2344.3200
2009-02-23,-0.0559,2410.4800
2009-02-24,-0.2541,2301.8500
2009-02-25,-0.4542,2304.2500
2009-02-26,-0.6717,2190.1900
2009-02-27,-0.6010,2140.4900
2009-03-02,-0.3526,2164.6700
2009-03-03,-0.1571,2142.1500
2009-03-04,0.2063,2285.1500
2009-03-05,0.2571,2304.9200
2009-03-06,0.3031,2286.5800
2009-03-09,-0.3182,2202.5300
2009-03-10,-0.1160,2240.7800
2009-03-11,-0.2295,2220.3800
